How did you hear about CCM?,What impacted your decision to attend CCM?,Ages,Interest in taking another class,Interested Classes,What motivated you to seek a computing class at CCM
"CCM Web site, Family member or friend","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Financial Aid', 'Scholarships', 'Small class sizes'], 'Some Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': []}",19-20,3,CyberSecurity,"Curiosity, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Billboard","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs'], 'Some Impact': [], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,3,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, Current CCM student, High School Counselor, Television, Home mailer","{'High Impact': ['College reputation', 'Accepted my transfer credits', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'Small class sizes'], 'No Impact': ['Online offerings', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,2,No interested classes,"To keep current in computing skills, Curiosity, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, In-app advertisement","{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': []}",19-20,2,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, High School Counselor","{'High Impact': ['Choice of programs'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,3,Game Design,"To keep current in computing skills, It’s a required class for the degree I’m seeking"
Family member or friend,"{'High Impact': ['Family/friend referral'], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'Faculty/staff', 'College reputation', 'Small class sizes', 'Accepted my transfer credits'], 'No Impact': ['Affordable cost', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
"Current CCM student, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'College reputation', 'Financial Aid'], 'Some Impact': ['Online offerings', 'Family/friend referral', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Faculty/staff', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, Current CCM student, CCM Alumni, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Financial Aid', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Family/friend referral', 'Faculty/staff', 'Scholarships', 'Small class sizes', 'Get college credit while in high school'], 'No Impact': ['Online offerings', 'College reputation', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program']}",18 and younger,3,"Web Development, App Development, Machine Learning/Artificial Intelligence","To keep current in computing skills, Curiosity, Personal Enrichment, It’s a required class for the degree I’m seeking"
"High School Teacher, High School Counselor","{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'College reputation', 'Small class sizes'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,1,No interested classes,It’s a required class for the degree I’m seeking
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, High School Teacher, High School Counselor, In-app advertisement, Home mailer","{'High Impact': ['Affordable cost', 'Family/friend referral', 'Financial Aid', 'Small class sizes', 'Extra-curricular opportunities', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'Faculty/staff', 'College reputation', 'Scholarships'], 'No Impact': ['Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,CyberSecurity,"To keep current in computing skills, Curiosity, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, High School Teacher","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Extra-curricular opportunities', 'Accepted my transfer credits'], 'No Impact': ['Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,CyberSecurity,"To keep current in computing skills, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
Other,"{'High Impact': ['Affordable cost', 'Financial Aid', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Choice of programs'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,1,"CyberSecurity, Data Analytics, Machine Learning/Artificial Intelligence","To keep current in computing skills, Personal Enrichment, Career Advancement, Career Change, Professional Development, Financial, It’s a required class for the degree I’m seeking"
"High School Teacher, High School Counselor, Billboard","{'High Impact': ['Affordable cost', 'Location/convenience', 'Financial Aid', 'Scholarships'], 'Some Impact': ['Choice of programs', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
Other,"{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Faculty/staff', 'Scholarships', 'Accepted my transfer credits', 'NJ Stars Program'], 'No Impact': ['Small class sizes', 'Extra-curricular opportunities', 'Negative experience at another college', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
"CCM Web site, Community Event, Family member or friend, Current CCM student, High School Teacher, High School Counselor, Home mailer","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': [], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program']}",18 and younger,2,"Computer Programming, Hardware Installation & Repair",It’s a required class for the degree I’m seeking
"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Small class sizes'], 'Some Impact': ['Online offerings', 'Faculty/staff', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,2,CyberSecurity,"To keep current in computing skills, Personal Enrichment, Career Advancement, Professional Development"
"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Billboard","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Faculty/staff', 'College reputation', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': ['Online offerings', 'Family/friend referral', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college'], 'No Impact': ['Financial Aid', 'Scholarships', 'NJ Stars Program']}",21-24,1,No interested classes,"Career Advancement, It’s a required class for the degree I’m seeking"
"Social Media, Family member or friend, CCM Alumni, High School Teacher, Billboard","{'High Impact': ['Affordable cost', 'Location/convenience', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Small class sizes'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"CyberSecurity, App Development","To keep current in computing skills, Personal Enrichment, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, In-app advertisement","{'High Impact': ['Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Accepted my transfer credits', 'NJ Stars Program', 'Get college credit while in high school'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Extra-curricular opportunities', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': []}",21-24,4,"CyberSecurity, Computer Programming, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Job Displacement, Financial, Relocation, IT Industry Certifications"
"Family member or friend, CCM Alumni, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Faculty/staff', 'Accepted my transfer credits', 'Negative experience at another college'], 'No Impact': ['Extra-curricular opportunities', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,4,"Data Analytics, Game Design","To keep current in computing skills, Curiosity, It’s a required class for the degree I’m seeking"
"High School Teacher, High School Counselor","{'High Impact': ['Location/convenience', 'Faculty/staff', 'Financial Aid', 'Small class sizes', 'Negative experience at another college'], 'Some Impact': ['Affordable cost', 'Choice of programs', 'Extra-curricular opportunities'], 'No Impact': ['Online offerings', 'Family/friend referral', 'College reputation', 'Scholarships', 'Accepted my transfer credits', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,2,Game Design,Other
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, In-app advertisement, Employer, Billboard, Television, Radio, Home mailer, Other","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'Some Impact': [], 'No Impact': []}",19-20,5,"Web Development, CyberSecurity, App Development, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Job Displacement, Financial, Relocation, IT Industry Certifications, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, In-app advertisement, Employer, Billboard, Television, Radio, Home mailer, Other","{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': []}",19-20,5,"Web Development, CyberSecurity, App Development, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Job Displacement, Financial, Relocation, IT Industry Certifications, It’s a required class for the degree I’m seeking"
"Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Billboard, Home mailer","{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'College reputation', 'Scholarships', 'Accepted my transfer credits', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Faculty/staff', 'Financial Aid', 'Small class sizes', 'Extra-curricular opportunities'], 'No Impact': ['Negative experience at another college', 'Get college credit while in high school']}",19-20,3,"Data Analytics, Machine Learning/Artificial Intelligence, Game Design, Hardware Installation & Repair","To keep current in computing skills, Career Advancement, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Online offerings'], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': ['Affordable cost']}",19-20,3,No interested classes,"To keep current in computing skills, Curiosity, Personal Enrichment, It’s a required class for the degree I’m seeking"
High School Counselor,"{'High Impact': ['Affordable cost', 'Online offerings'], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation'], 'No Impact': ['Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,2,Data Analytics,"To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Professional Development, Job Displacement, Financial, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost'], 'Some Impact': ['Location/convenience', 'Online offerings', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,2,CyberSecurity,It’s a required class for the degree I’m seeking
"Family member or friend, Current CCM student, Home mailer","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Financial Aid', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['College reputation', 'Negative experience at another college'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'NJ Stars Program', 'Get college credit while in high school']}",35-64,2,No interested classes,"Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['College reputation', 'Financial Aid', 'Accepted my transfer credits'], 'No Impact': ['Choice of programs', 'Online offerings', 'Faculty/staff', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, App Development","Curiosity, Personal Enrichment, Professional Development, It’s a required class for the degree I’m seeking"
Family member or friend,"{'High Impact': ['Choice of programs', 'College reputation'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Financial Aid', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",25-34,3,"CyberSecurity, Computer Programming, Hardware Installation & Repair",It’s a required class for the degree I’m seeking
CCM Web site,"{'High Impact': ['Location/convenience', 'Family/friend referral', 'Faculty/staff', 'College reputation'], 'Some Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Small class sizes', 'Negative experience at another college', 'Get college credit while in high school']}",19-20,3,"Web Development, CyberSecurity, App Development, Machine Learning/Artificial Intelligence, Computer Programming, Game Design","To keep current in computing skills, Professional Development"
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, In-app advertisement, Home mailer","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships'], 'Some Impact': ['Online offerings', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': []}",19-20,3,"Web Development, CyberSecurity, App Development, Machine Learning/Artificial Intelligence, Computer Programming, Game Design","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Professional Development, Financial, It’s a required class for the degree I’m seeking"
Family member or friend,"{'High Impact': [], 'Some Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Small class sizes'], 'No Impact': ['Affordable cost', 'Online offerings', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,1,No interested classes,Other
Family member or friend,"{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Get college credit while in high school']}",19-20,2,No interested classes,"To keep current in computing skills, Curiosity"
Current CCM student,"{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Financial Aid', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",25-34,5,"Web Development, CyberSecurity, App Development, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Financial, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Choice of programs', 'Faculty/staff', 'Financial Aid', 'Scholarships', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Extra-curricular opportunities'], 'No Impact': ['Online offerings', 'Family/friend referral', 'College reputation', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, App Development, Game Design","To keep current in computing skills, Curiosity, Personal Enrichment, It’s a required class for the degree I’m seeking"
"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation'], 'No Impact': ['Accepted my transfer credits', 'Negative experience at another college', 'Get college credit while in high school']}",19-20,3,"Web Development, CyberSecurity, App Development, Computer Programming, Game Design, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Financial"
High School Teacher,"{'High Impact': ['Faculty/staff', 'College reputation', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities'], 'No Impact': ['Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, CyberSecurity, Machine Learning/Artificial Intelligence, Computer Programming, Game Design, Hardware Installation & Repair",It’s a required class for the degree I’m seeking
Family member or friend,"{'High Impact': [], 'Some Impact': ['Affordable cost'], 'No Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,3,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, High School Teacher","{'High Impact': ['Location/convenience', 'Choice of programs', 'Family/friend referral', 'Financial Aid', 'Small class sizes', 'Accepted my transfer credits'], 'Some Impact': ['Affordable cost', 'College reputation'], 'No Impact': ['Online offerings', 'Faculty/staff', 'Scholarships', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,2,Game Design,It’s a required class for the degree I’m seeking
"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes'], 'Some Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school'], 'No Impact': ['Negative experience at another college']}",18 and younger,2,CyberSecurity,It’s a required class for the degree I’m seeking
"Family member or friend, CCM Alumni","{'High Impact': ['Affordable cost', 'Extra-curricular opportunities', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'College reputation', 'Financial Aid', 'Scholarships', 'Accepted my transfer credits'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Small class sizes', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,2,Data Analytics,"To keep current in computing skills, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"Social Media, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor, Other","{'High Impact': ['Location/convenience', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Scholarships', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Affordable cost', 'Choice of programs', 'Online offerings', 'Extra-curricular opportunities', 'Negative experience at another college'], 'No Impact': ['Financial Aid', 'Small class sizes', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"CyberSecurity, App Development, Data Analytics","Curiosity, Career Advancement, It’s a required class for the degree I’m seeking"
"High School Teacher, High School Counselor","{'High Impact': [], 'Some Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Financial Aid'], 'No Impact': ['Family/friend referral', 'Faculty/staff', 'College reputation', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,2,No interested classes,"To keep current in computing skills, Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"CCM Web site, Family member or friend, Current CCM student, CCM Alumni, High School Teacher","{'High Impact': ['Affordable cost', 'Choice of programs', 'College reputation', 'Extra-curricular opportunities', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Online offerings', 'Family/friend referral', 'Financial Aid', 'Scholarships'], 'No Impact': ['Location/convenience', 'Faculty/staff', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
"Family member or friend, CCM Alumni","{'High Impact': ['Affordable cost', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Family/friend referral', 'College reputation'], 'No Impact': ['Location/convenience', 'Choice of programs', 'Online offerings', 'Faculty/staff', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,2,No interested classes,"To keep current in computing skills, It’s a required class for the degree I’m seeking"
"CCM Web site, Community Event, Family member or friend","{'High Impact': ['Choice of programs'], 'Some Impact': ['Affordable cost', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Location/convenience', 'Online offerings', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,3,"Web Development, CyberSecurity, App Development, Game Design","To keep current in computing skills, Personal Enrichment, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, High School Counselor","{'High Impact': ['Affordable cost', 'Family/friend referral', 'Financial Aid', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Location/convenience', 'Choice of programs'], 'No Impact': ['Online offerings', 'Faculty/staff', 'College reputation', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",21-24,3,"Web Development, CyberSecurity, App Development","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, CCM Alumni","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': [], 'No Impact': ['Online offerings', 'Family/friend referral', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,"Career Advancement, Career Change, Professional Development, Job Displacement, Financial, It’s a required class for the degree I’m seeking"
